grid index,GP index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,uuid
1,1143,26.2729,32.0062,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",bc7d82ad-aca7-4c01-9f22-6f0389f67e6a
1,1046,-8.0146,-52.7146,high_flow_river,0,58296,7.1,"['VNIR', 'Altimeter']",59340e42-acbf-4a7a-b1dd-12b3d01f13a3
1,1148,29.9562,116.5854,high_flow_river,1699,27428,100.0,"['VNIR', 'Altimeter']",e6c49b41-19d7-4910-94d6-3795d647a6b3
1,1044,-8.0021,-58.3188,high_flow_river,4491,81909,50.3,"['VNIR', 'Altimeter']",9d0f364d-622c-4ee1-9cb0-f8e68f5b8c8d
0,819,-21.4001,124.6411,algal_bloom,4864,81536,43.6,"['VNIR', 'TIR', 'Altimeter']",d1c03c13-3ab5-45a5-9e3f-5d1b8ea9c7ee
0,598,-22.0976,122.9932,algal_bloom,4864,81536,51.8,"['VNIR', 'TIR', 'Altimeter']",c8384658-1564-43b9-a650-5d30f86f2679
0,913,-22.3483,123.8354,algal_bloom,4864,81536,53.3,"['VNIR', 'TIR', 'Altimeter']",1a03fb43-c4c4-4b75-a4a0-aebb62cc5709
1,1146,26.3146,92.0229,high_flow_river,7853,35546,63.6,"['VNIR', 'Altimeter']",cf2fa36a-b907-45bb-bc21-b2c9dee6d643
0,711,17.9744,100.5056,algal_bloom,10383,76017,41.2,"['VNIR', 'TIR', 'Altimeter']",28b44308-7470-4b80-8519-61d616416ce3
0,77,12.9017,103.9945,algal_bloom,10383,76017,70.0,"['VNIR', 'TIR', 'Altimeter']",4eebb911-d94c-4418-84ef-def68d9e925b
0,886,16.7811,103.6029,algal_bloom,10383,76017,65.8,"['VNIR', 'TIR', 'Altimeter']",f8c9cb08-12a4-4ea1-9d89-f6292117ba64
0,562,16.6988,102.5991,algal_bloom,10383,76017,46.1,"['VNIR', 'TIR', 'Altimeter']",67117165-5dcb-459c-9352-d8784dd6c53b
